Nr;Event;0-CMM;0-Homogeneity;0-Completeness;0-V-Measure;0-Purity;0-numCluster;0-numClasses;0-time per object;0-;0-Ram-Hours;0-Time;0-Memory;0-SSQ;0-SilhCoeff;1-CMM;1-Homogeneity;1-Completeness;1-V-Measure;1-Purity;1-numCluster;1-numClasses;1-time per object;1-;1-Ram-Hours;1-Time;1-Memory;1-SSQ;1-SilhCoeff;
0;;0.5064221304500385;-1.0;0.6486915036035061;-1.0;0.6764705882352942;2.0;2.0;;;;;;1106.9795097810363;1.0;0.5064221304500385;-1.0;0.6486915036035061;-1.0;0.6764705882352942;2.0;2.0;;;;;;1106.9795097810363;1.0;
1;;0.502897780382142;-1.0;0.6029896160841061;-1.0;0.7878787878787878;2.0;2.0;;;;;;1112.3460162712315;1.0;0.6599417619388667;-1.0;0.33251180559720894;-1.0;0.6751662971175166;2.0;2.0;;;;;;1119.9865121381804;0.9345808691976111;
2;;0.5029192196574578;-1.0;0.6399039287606986;-1.0;0.7014925373134329;2.0;2.0;;;;;;1113.4709740196845;1.0;0.5012680651666058;-1.0;0.6355521670945508;-1.0;0.6911764705882353;2.0;2.0;;;;;;1115.9761120735957;1.0;
3;;0.4993996369633603;-1.0;0.6534140505188963;-1.0;0.5483870967741935;2.0;2.0;;;;;;1119.2649595720793;1.0;0.5748731491858835;-1.0;0.6622191917139708;-1.0;0.5573770491803278;2.0;2.0;;;;;;1113.9346683519648;1.0;
4;;0.5852958881379053;-1.0;0.6263178296044052;-1.0;0.8235294117647058;2.0;2.0;;;;;;1096.9301578938366;1.0;0.5873447094167044;-1.0;0.6227094415052008;-1.0;0.8260869565217391;2.0;2.0;;;;;;1102.8177745050907;1.0;
5;;0.5920055798077795;-1.0;0.6359255382643065;-1.0;0.5;2.0;2.0;;;;;;1099.0762263060283;1.0;0.6810751234961314;-1.0;0.47357059122973544;-1.0;0.7611940298507462;2.0;2.0;;;;;;1112.1213267018993;0.9263231657543287;
6;;0.5919478619257506;-1.0;0.6368897720506855;-1.0;0.5147058823529411;2.0;2.0;;;;;;1105.5941722401883;1.0;0.5848502189517211;-1.0;0.644036882857021;-1.0;0.5;2.0;2.0;;;;;;1113.9431791800885;1.0;
7;;0.5920751758397205;-1.0;0.6628992876800684;-1.0;0.8873239436619719;2.0;2.0;;;;;;1115.803069602636;1.0;0.49847859049041265;-1.0;0.6382794054556835;-1.0;0.7183098591549296;2.0;2.0;;;;;;1102.501770510922;1.0;
8;;0.5003524387111282;-1.0;0.6672634674725949;-1.0;0.7142857142857143;2.0;2.0;;;;;;1105.2809314644514;1.0;0.4996307103450154;-1.0;0.6429297095125379;-1.0;0.7916666666666666;2.0;2.0;;;;;;1093.7449605186764;1.0;
9;;0.5890771576815643;-1.0;0.6202016369218846;-1.0;0.5675675675675675;2.0;2.0;;;;;;1115.8628837717338;1.0;0.5956924112714956;-1.0;0.6272032838695243;-1.0;0.5555555555555556;2.0;2.0;;;;;;1124.9367284407188;1.0;
10;;0.5107899045006152;-1.0;0.6057038597390056;-1.0;0.5512820512820513;2.0;2.0;;;;;;1100.8523611916257;1.0;0.5071383290560031;-1.0;0.6106578146291202;-1.0;0.5844155844155844;2.0;2.0;;;;;;1108.707935953207;1.0;
11;;0.5139877694578733;-1.0;0.7055547768494765;-1.0;0.5769230769230769;2.0;2.0;;;;;;1165.146688633362;1.0;0.5301981586425253;-1.0;0.6751566388339512;-1.0;0.5254237288135594;2.0;2.0;;;;;;1141.6443682790625;1.0;
12;;0.5256835251678751;-1.0;0.8211540655150648;-1.0;0.5555555555555556;2.0;2.0;;;;;;1181.533562682222;1.0;0.5179710117525691;-1.0;0.642091542186119;-1.0;0.6376811594202898;2.0;2.0;;;;;;1116.7795442578436;1.0;
13;;0.5280668881588315;-1.0;0.7420840948451208;-1.0;0.6363636363636364;2.0;2.0;;;;;;1163.5236824261335;1.0;0.523020170650712;-1.0;0.6318202341934058;-1.0;0.6527777777777778;2.0;2.0;;;;;;1134.1354826187062;1.0;
14;;0.5404227450545676;-1.0;0.5867862022647181;-1.0;0.6707317073170732;2.0;2.0;;;;;;1125.157115188157;1.0;0.5249828978183888;-1.0;0.6191918546530574;-1.0;0.6712328767123288;2.0;2.0;;;;;;1118.585594306262;1.0;
15;;0.5372010874267796;-1.0;0.600634730072867;-1.0;0.5822784810126582;2.0;2.0;;;;;;1115.2504814623908;1.0;0.5384689665760719;-1.0;0.643433844603325;-1.0;0.6363636363636364;2.0;2.0;;;;;;1125.6298886530162;1.0;
16;;0.538713134947874;-1.0;0.6199628912528043;-1.0;0.8450704225352113;2.0;2.0;;;;;;1108.9020463944428;1.0;0.6964284704375117;-1.0;0.2896908297767544;-1.0;0.8128557874762808;2.0;2.0;;;;;;1145.9701312010968;0.9285981776741288;
17;;0.5364270998784326;-1.0;0.65145000621157;-1.0;0.5846153846153846;2.0;2.0;;;;;;1137.5556958101452;1.0;0.5574387018744482;-1.0;0.6403365221740234;-1.0;0.5882352941176471;2.0;2.0;;;;;;1139.5888076157116;1.0;
18;;0.5397658471064025;-1.0;0.7814141906087164;-1.0;0.6470588235294118;2.0;2.0;;;;;;1198.587173506181;1.0;0.5695997941660015;-1.0;0.7274640108603887;-1.0;0.7021276595744681;2.0;2.0;;;;;;1160.0250989221393;1.0;
19;;0.5295119060147798;-1.0;0.6985600161268923;-1.0;0.6111111111111112;2.0;2.0;;;;;;1177.906299762941;1.0;0.5409297196630859;-1.0;0.6674328154290412;-1.0;0.6290322580645161;2.0;2.0;;;;;;1175.254202665922;1.0;
20;;0.5758976455454118;-1.0;0.6722385903111122;-1.0;0.6774193548387096;2.0;2.0;;;;;;1169.7263268767379;1.0;0.7113844597303218;-1.0;0.43253626640497644;-1.0;0.7134502923976609;2.0;2.0;;;;;;1194.3695194466789;0.9074130695483795;
21;;0.5822745273302053;-1.0;0.6442293225206002;-1.0;0.8148148148148148;2.0;2.0;;;;;;1166.0579299822275;1.0;0.6858126228400214;-1.0;0.588323985251425;-1.0;0.9183673469387755;2.0;2.0;;;;;;1192.6059679871726;0.9379983210936076;
22;;0.587946448789014;-1.0;0.7434865433496843;-1.0;0.8571428571428571;2.0;2.0;;;;;;1160.4453134474547;1.0;0.5241385511255401;-1.0;0.6759629072412427;-1.0;0.6206896551724138;2.0;2.0;;;;;;1156.344068253251;1.0;
23;;0.5221805136631925;-1.0;0.5941712955678766;-1.0;0.7468354430379747;2.0;2.0;;;;;;1159.221384206286;1.0;0.5198811808200805;-1.0;0.6190027877903646;-1.0;0.7808219178082192;2.0;2.0;;;;;;1151.9029552336044;1.0;
24;;0.5238894137445824;-1.0;0.6259400754261863;-1.0;0.5217391304347826;2.0;2.0;;;;;;1152.7605678077064;1.0;0.518489848178018;-1.0;0.6707518638771639;-1.0;0.5614035087719298;2.0;2.0;;;;;;1135.2041736342612;1.0;
25;;0.6866238548178718;-1.0;0.5862322516929233;-1.0;0.8118729096989966;2.0;2.0;;;;;;1173.1731328656992;0.9284223704852502;0.5266262176525437;-1.0;0.586853633990098;-1.0;0.573170731707317;2.0;2.0;;;;;;1137.431930758796;1.0;
26;;0.59684715319128;-1.0;0.5795856417488363;-1.0;0.6704545454545454;2.0;2.0;;;;;;1138.2567941363761;1.0;0.6877751419870851;-1.0;0.6319616497414331;-1.0;0.8181818181818181;2.0;2.0;;;;;;1140.3236995261968;0.9271452653586865;
27;;0.6108581842746862;-1.0;0.619026229349746;-1.0;0.5138888888888888;2.0;2.0;;;;;;1173.5495143078022;1.0;0.6157968854873294;-1.0;0.6312097082617957;-1.0;0.5072463768115942;2.0;2.0;;;;;;1170.2493263448691;1.0;
28;;0.7282473661208393;-1.0;0.5327628128939745;-1.0;0.6969924812030075;2.0;2.0;;;;;;1209.1255708188048;0.9036877264010041;0.5294928887246897;-1.0;0.7222167217659121;-1.0;0.5217391304347826;2.0;2.0;;;;;;1158.6462531743698;1.0;
29;;0.6107684953512051;-1.0;0.9360181150139989;-1.0;1.0;2.0;2.0;;;;;;1275.5752155662833;1.0;0.618297843918405;-1.0;0.658391840684641;-1.0;0.6557377049180327;2.0;2.0;;;;;;1162.8878042966976;1.0;
30;;0.6333568984799596;-1.0;0.7374095546609196;-1.0;0.7659574468085106;2.0;2.0;;;;;;1237.3548116371576;1.0;0.6120670220731476;-1.0;0.688421776244939;-1.0;0.7457627118644068;2.0;2.0;;;;;;1165.8646019177872;1.0;
31;;0.759253807004518;-1.0;0.45589063158383236;-1.0;0.7640712945590994;2.0;2.0;;;;;;1210.3526188169612;0.9242797933360791;0.7196728693398692;-1.0;0.5938484594751461;-1.0;0.86;2.0;2.0;;;;;;1183.426997266963;0.9295184658965577;
32;;0.6102220426075964;-1.0;0.643858607846131;-1.0;0.5970149253731343;2.0;2.0;;;;;;1164.7861353398841;1.0;0.5834467119396642;-1.0;0.7609179254805011;-1.0;0.5384615384615384;2.0;2.0;;;;;;1170.2147671032615;1.0;
33;;0.6119887454370929;-1.0;0.8327113080830437;-1.0;0.8928571428571429;2.0;2.0;;;;;;1191.987839884876;1.0;0.6100757049432071;-1.0;0.8458272831448111;-1.0;0.8333333333333334;2.0;2.0;;;;;;1175.5411603844007;1.0;
34;;0.5472771583095764;-1.0;0.6276220227165145;-1.0;0.6142857142857143;2.0;2.0;;;;;;1154.6277656737282;1.0;0.5374888622799647;-1.0;0.6847306541758146;-1.0;0.6785714285714286;2.0;2.0;;;;;;1158.3212213219485;1.0;
35;;0.5937747430153464;-1.0;0.8825175769004856;-1.0;1.0;2.0;2.0;;;;;;1205.0343647812226;1.0;0.6124851919289259;-1.0;0.7169968892834575;-1.0;0.9090909090909091;2.0;2.0;;;;;;1166.6445456163738;1.0;
36;;0.7104500216214574;-1.0;0.621942270897929;-1.0;0.79;2.0;2.0;;;;;;1183.426760777066;0.9035683941958728;0.7276200265992365;-1.0;0.6194398445956772;-1.0;0.7972972972972974;2.0;2.0;;;;;;1192.7852750435197;0.9408173357698378;
37;;0.5623867654295658;-1.0;0.7436582109863301;-1.0;0.85;2.0;2.0;;;;;;1209.1803896074098;1.0;0.5672529764688055;-1.0;0.6758146757656559;-1.0;0.7962962962962963;2.0;2.0;;;;;;1193.2340826496468;1.0;
38;;0.5701519952008964;-1.0;0.7213547671922295;-1.0;0.5208333333333334;2.0;2.0;;;;;;1180.1167531146941;1.0;0.7148680134138103;-1.0;0.6171995961965487;-1.0;0.6602272727272727;2.0;2.0;;;;;;1191.0845855795026;0.9328872921899938;
39;;0.576911360833684;-1.0;0.6659454973170382;-1.0;0.5245901639344263;2.0;2.0;;;;;;1172.3008756287275;1.0;0.5553722396158778;-1.0;0.7027457013507067;-1.0;0.5769230769230769;2.0;2.0;;;;;;1174.7814482599408;1.0;
40;;0.5810887937354638;-1.0;0.603821838899963;-1.0;0.5384615384615384;2.0;2.0;;;;;;1152.9434690919547;1.0;0.6876330295638466;-1.0;0.605353031229307;-1.0;0.7538461538461538;2.0;2.0;;;;;;1165.8766889305434;0.9284912967798549;
41;;0.7063222586973443;-1.0;0.3531034384159989;-1.0;0.8215444516547696;2.0;2.0;;;;;;1187.5771193399266;0.9482923849052782;0.534589671864579;-1.0;0.6964215171023116;-1.0;0.9552238805970149;2.0;2.0;;;;;;1160.5306931529415;1.0;
42;;0.6819172476431798;-1.0;0.6031858961004906;-1.0;0.9393939393939394;2.0;2.0;;;;;;1184.373100030818;0.9350501465364505;0.536939024974849;-1.0;0.7018862390942413;-1.0;0.9047619047619048;2.0;2.0;;;;;;1160.470025958332;1.0;
43;;0.6883707433354324;-1.0;0.32622005997596737;-1.0;0.6863774523348991;2.0;2.0;;;;;;1170.5626731956813;0.9069246626068572;0.5806133056423084;-1.0;0.5913872788747946;-1.0;0.5921052631578947;2.0;2.0;;;;;;1137.763803944936;1.0;
44;;0.5927553165777839;-1.0;0.5875142210739007;-1.0;0.5555555555555556;2.0;2.0;;;;;;1136.1990764610664;1.0;0.597529079193948;-1.0;0.6971288593619844;-1.0;0.660377358490566;2.0;2.0;;;;;;1144.2793013972093;1.0;
