learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
10.0,2.7003E-5,6.035640835762023E-14,10.0,0.0,0.0,0.020000000000000028,0.0,?,0.0,0.2,10.0,8640.0
20.0,5.37138E-4,1.2005969882011412E-12,20.0,0.0,0.0,0.010000000000000028,0.0,?,0.0,0.2,20.0,8640.0
30.0,7.77482E-4,1.7378076910972596E-12,30.0,0.0,0.0,0.006666666666666695,0.0,?,0.0,0.2,30.0,8640.0
40.0,0.001034723,2.3127861320972445E-12,40.0,0.0,0.0,0.005000000000000028,0.0,?,0.0,0.2,40.0,8640.0
50.0,0.001248682,2.7910217642784122E-12,50.0,0.0,0.0,0.004000000000000028,0.0,?,0.0,0.2,50.0,8640.0
60.0,0.00149801,3.3483132719993593E-12,60.0,0.0,0.0,0.0033333333333333613,0.0,?,0.0,0.2,60.0,8640.0
70.0,0.001736823,3.8821019232273104E-12,70.0,0.0,0.0,0.002857142857142885,0.0,?,0.0,0.2,70.0,8640.0
80.0,0.001961723,4.384792596101761E-12,80.0,0.0,0.0,0.002500000000000028,0.0,?,0.0,0.2,80.0,8640.0
90.0,0.00215575,4.818476736545563E-12,90.0,0.0,0.0,0.00222222222222225,0.0,?,0.0,0.2,90.0,8640.0
100.0,0.002351081,5.255075544118881E-12,100.0,0.0,0.0,0.002000000000000028,0.0,?,0.0,0.2,100.0,8640.0
110.0,0.002544716,5.687883496284485E-12,110.0,0.0,0.0,0.001818181818181846,0.0,?,0.0,0.2,110.0,8640.0
120.0,0.002745363,6.136364489793777E-12,120.0,0.0,0.0,0.0016666666666666945,0.0,?,0.0,0.2,120.0,8640.0
130.0,0.002943316,6.578823924064636E-12,130.0,0.0,0.0,0.0015384615384615662,0.0,?,0.0,0.2,130.0,8640.0
140.0,0.003136576,7.0107936859130855E-12,140.0,0.0,0.0,0.0014285714285714563,0.0,?,0.0,0.2,140.0,8640.0
150.0,0.003332457,7.448621839284896E-12,150.0,0.0,0.0,0.0013333333333333613,0.0,?,0.0,0.2,150.0,8640.0
160.0,0.003536954,7.905708253383636E-12,160.0,0.0,0.0,0.0012500000000000278,0.0,?,0.0,0.2,160.0,8640.0
170.0,0.003731547,8.340657502412796E-12,170.0,0.0,0.0,0.001176470588235322,0.0,?,0.0,0.2,170.0,8640.0
180.0,0.003953874,8.837597072124481E-12,180.0,0.0,0.0,0.0011111111111111389,0.0,?,0.0,0.2,180.0,8640.0
190.0,0.004176637,9.335511177778244E-12,190.0,0.0,0.0,0.0010526315789473962,0.0,?,0.0,0.2,190.0,8640.0
200.0,0.004400058,9.83489602804184E-12,200.0,0.0,0.0,0.0010000000000000278,0.0,?,0.0,0.2,200.0,8640.0
210.0,0.004620273,1.0327114909887314E-11,210.0,0.0,0.0,9.523809523809801E-4,0.0,?,0.0,0.2,210.0,8640.0
220.0,0.004899101,1.0950344055891038E-11,220.0,0.0,0.0,9.090909090909368E-4,0.0,?,0.0,0.2,220.0,8640.0
230.0,0.00512591,1.1457301676273347E-11,230.0,0.0,0.0,8.695652173913321E-4,0.0,?,0.0,0.2,230.0,8640.0
240.0,0.005356591,1.1972913891077042E-11,240.0,0.0,0.0,8.333333333333611E-4,0.0,?,0.0,0.2,240.0,8640.0
250.0,0.005593899,1.2503338605165482E-11,250.0,0.0,0.0,8.000000000000278E-4,0.0,?,0.0,0.2,250.0,8640.0
260.0,0.00582064,1.3010144233703613E-11,260.0,0.0,0.0,7.69230769230797E-4,0.0,?,0.0,0.2,260.0,8640.0
270.0,0.006050162,1.3523165881633758E-11,270.0,0.0,0.0,7.407407407407686E-4,0.0,?,0.0,0.2,270.0,8640.0
280.0,0.006280586,1.4038203656673431E-11,280.0,0.0,0.0,7.14285714285742E-4,0.0,?,0.0,0.2,280.0,8640.0
290.0,0.006578157,1.4703326672315596E-11,290.0,0.0,0.0,6.896551724138209E-4,0.0,?,0.0,0.2,290.0,8640.0
300.0,0.006816663,1.523642912507057E-11,300.0,0.0,0.0,6.666666666666945E-4,0.0,?,0.0,0.2,300.0,8640.0
310.0,0.007041086,1.5738053619861598E-11,310.0,0.0,0.0,6.451612903226084E-4,0.0,?,0.0,0.2,310.0,8640.0
320.0,0.007267415,1.624393835663795E-11,320.0,0.0,0.0,6.250000000000278E-4,0.0,?,0.0,0.2,320.0,8640.0
330.0,0.007496228,1.675537526607513E-11,330.0,0.0,0.0,6.060606060606338E-4,0.0,?,0.0,0.2,330.0,8640.0
340.0,0.007727464,1.7272228002548213E-11,340.0,0.0,0.0,5.882352941176749E-4,0.0,?,0.0,0.2,340.0,8640.0
350.0,0.007955871,1.7782757431268688E-11,350.0,0.0,0.0,5.714285714285992E-4,0.0,?,0.0,0.2,350.0,8640.0
360.0,0.008194511,1.831615939736366E-11,360.0,0.0,0.0,5.555555555555833E-4,0.0,?,0.0,0.2,360.0,8640.0
370.0,0.00842072,1.8821775913238522E-11,370.0,0.0,0.0,5.405405405405683E-4,0.0,?,0.0,0.2,370.0,8640.0
380.0,0.00864637,1.932614296674728E-11,380.0,0.0,0.0,5.26315789473712E-4,0.0,?,0.0,0.2,380.0,8640.0
390.0,0.008915258,1.9927154481410978E-11,390.0,0.0,0.0,5.128205128205406E-4,0.0,?,0.0,0.2,390.0,8640.0
400.0,0.009171236,2.049930989742279E-11,400.0,0.0,0.0,5.000000000000278E-4,0.0,?,0.0,0.2,400.0,8640.0
410.0,0.009394325,2.099795266985893E-11,410.0,0.0,0.0,4.878048780488083E-4,0.0,?,0.0,0.2,410.0,8640.0
420.0,0.009622287,2.1507487446069717E-11,420.0,0.0,0.0,4.7619047619050395E-4,0.0,?,0.0,0.2,420.0,8640.0
430.0,0.009847653,2.2011219710111617E-11,430.0,0.0,0.0,4.651162790697952E-4,0.0,?,0.0,0.2,430.0,8640.0
440.0,0.010073859,2.2516829520463943E-11,440.0,0.0,0.0,4.545454545454823E-4,0.0,?,0.0,0.2,440.0,8640.0
450.0,0.01031269,2.305065840482712E-11,450.0,0.0,0.0,4.444444444444722E-4,0.0,?,0.0,0.2,450.0,8640.0
460.0,0.01054605,2.357225865125656E-11,460.0,0.0,0.0,4.3478260869567995E-4,0.0,?,0.0,0.2,460.0,8640.0
470.0,0.010769801,2.4072381108999252E-11,470.0,0.0,0.0,4.2553191489364483E-4,0.0,?,0.0,0.2,470.0,8640.0
480.0,0.011012492,2.4614837765693664E-11,480.0,0.0,0.0,4.1666666666669445E-4,0.0,?,0.0,0.2,480.0,8640.0
490.0,0.011259782,2.516757398843765E-11,490.0,0.0,0.0,4.081632653061502E-4,0.0,?,0.0,0.2,490.0,8640.0
500.0,0.011496616,2.569693922996521E-11,500.0,0.0,0.0,4.000000000000278E-4,1.0,0.0,0.0,0.2,500.0,8640.0
510.0,0.011722775,2.6202443987131118E-11,510.0,0.0,0.0,4.993618659607365E-4,1.0,0.0,0.0,0.21000000000000002,510.0,8640.0
520.0,0.01195037,2.671115845441818E-11,520.0,0.0,0.0,7.834900384680177E-4,1.0,0.0,0.0,0.22,520.0,8640.0
530.0,0.01217938,2.7223035693168637E-11,530.0,0.0,0.0,0.0012384675782416516,1.0,0.0,0.0,0.23,530.0,8640.0
540.0,0.012475496,2.7884906530380247E-11,540.0,0.0,0.0,0.0018515989726005262,1.0,0.0,0.0,0.24000000000000002,540.0,8640.0
550.0,0.012700237,2.8387241810560223E-11,550.0,0.0,0.0,0.002611285351604916,1.0,0.0,0.0,0.25,550.0,8640.0
560.0,0.012962228,2.8972837328910823E-11,560.0,0.0,0.0,0.0035069142913826236,1.0,0.0,0.0,0.26,560.0,8640.0
570.0,0.013187024,2.947529554367065E-11,570.0,0.0,0.0,0.004528762286071378,1.0,0.0,0.0,0.27,570.0,8640.0
580.0,0.013410455,2.997470274567604E-11,580.0,0.0,0.0,0.005667908249669757,1.0,0.0,0.0,0.28,580.0,8640.0
590.0,0.013640391,3.048864975571632E-11,590.0,0.0,0.0,0.006916156644208549,1.0,0.0,0.0,0.29000000000000004,590.0,8640.0
600.0,0.013886869,3.10395710170269E-11,600.0,0.0,0.0,0.008265969028796004,1.0,0.0,0.0,0.30000000000000004,600.0,8640.0
610.0,0.014115739,3.155113533139229E-11,610.0,0.0,0.0,0.00971040299156614,1.0,0.0,0.0,0.31,610.0,8640.0
620.0,0.014337605,3.204704448580742E-11,620.0,0.0,0.0,0.011243057568521751,1.0,0.0,0.0,0.32,620.0,8640.0
630.0,0.014598528,3.263025283813477E-11,630.0,0.0,0.0,0.012858024373933276,1.0,0.0,0.0,0.33,630.0,8640.0
640.0,0.014827039,3.314101472496987E-11,640.0,0.0,0.0,0.014549843769799602,1.0,0.0,0.0,0.34,640.0,8640.0
650.0,0.015053047,3.364618197083474E-11,650.0,0.0,0.0,0.016313465489757234,1.0,0.0,0.0,0.35,650.0,8640.0
660.0,0.015274683,3.414157703518868E-11,660.0,0.0,0.0,0.01814421320810527,1.0,0.0,0.0,0.36,660.0,8640.0
670.0,0.015509871,3.466726318001748E-11,670.0,0.0,1.0,0.02003775260925844,1.0,0.0,0.0,0.37,670.0,8640.0
680.0,0.015731763,3.516323044896127E-11,680.0,0.0,1.0,0.02199006256858141,1.0,0.0,0.0,0.38,680.0,8640.0
690.0,0.015960249,3.567393645644189E-11,690.0,0.0,1.0,0.023997409103558267,1.0,0.0,0.0,0.39,690.0,8640.0
700.0,0.016186476,3.6179593205451976E-11,700.0,0.0,1.0,0.02605632179575173,1.0,0.0,0.0,0.4,700.0,8640.0
710.0,0.016412375,3.6684516817331327E-11,710.0,0.0,1.0,0.028163572419963465,1.0,0.0,0.0,0.41000000000000003,710.0,8640.0
720.0,0.016646103,3.720693960785867E-11,720.0,0.0,1.0,0.03031615554822646,1.0,0.0,0.0,0.42000000000000004,720.0,8640.0
730.0,0.016906217,3.778833970427515E-11,730.0,0.0,1.0,0.03251127092341961,1.0,0.0,0.0,0.43000000000000005,730.0,8640.0
740.0,0.017144529,3.832100853323938E-11,740.0,1.0,1.0,0.03367416110269411,1.0,236.0,1.0,0.44,740.0,8640.0
750.0,0.017372596,3.883077800273897E-11,750.0,1.0,1.0,0.03329517228799153,1.0,236.0,1.0,0.45,750.0,8640.0
760.0,0.017661412,3.947633206844331E-11,760.0,1.0,1.0,0.03299194633683375,1.0,236.0,1.0,0.46,760.0,8640.0
770.0,0.018023912,4.028658270835878E-11,770.0,1.0,1.0,0.0327615314493424,1.0,236.0,1.0,0.47000000000000003,770.0,8640.0
780.0,0.018257623,4.080896750092508E-11,780.0,1.0,1.0,0.03260112719999185,1.0,236.0,1.0,0.48000000000000004,780.0,8640.0
790.0,0.01852255,4.140112549066545E-11,790.0,1.0,1.0,0.03250807495695397,1.0,236.0,1.0,0.49,790.0,8640.0
800.0,0.018729053,4.1862695664167415E-11,800.0,1.0,1.0,0.03247984901999205,1.0,236.0,1.0,0.5,800.0,8640.0
810.0,0.018928573,4.2308657616376885E-11,810.0,1.0,1.0,0.03251404841480696,1.0,236.0,1.0,0.51,810.0,8640.0
820.0,0.019124606,4.2746825516223914E-11,820.0,1.0,1.0,0.03260838928779713,1.0,236.0,1.0,0.52,820.0,8640.0
830.0,0.019317448,4.317786097526551E-11,830.0,1.0,1.0,0.03276069785059475,1.0,236.0,1.0,0.53,830.0,8640.0
840.0,0.019509743,4.360767379403115E-11,840.0,1.0,1.0,0.03296890382856386,1.0,236.0,1.0,0.54,840.0,8640.0
850.0,0.019701653,4.4036626070737844E-11,850.0,1.0,1.0,0.03323103437175722,1.0,236.0,1.0,0.55,850.0,8640.0
860.0,0.019894429,4.446751400828362E-11,860.0,1.0,1.0,0.03354520839069028,1.0,236.0,1.0,0.56,860.0,8640.0
870.0,0.020088655,4.490164294838906E-11,870.0,1.0,1.0,0.033909631282751304,1.0,236.0,1.0,0.5700000000000001,870.0,8640.0
880.0,0.02028162,4.533295333385468E-11,880.0,1.0,1.0,0.034322590018174594,1.0,236.0,1.0,0.5800000000000001,880.0,8640.0
890.0,0.020787979,4.646475389599801E-11,890.0,1.0,1.0,0.03478244855729623,1.0,236.0,1.0,0.5900000000000001,890.0,8640.0
900.0,0.02101549,4.6973280608654035E-11,900.0,1.0,1.0,0.03528764357332627,1.0,236.0,1.0,0.6000000000000001,900.0,8640.0
910.0,0.021213351,4.741553440690042E-11,910.0,1.0,1.0,0.035836680457135874,1.0,236.0,1.0,0.6100000000000001,910.0,8640.0
920.0,0.02146969,4.7988496720790876E-11,920.0,1.0,1.0,0.0364281295826018,1.0,236.0,1.0,0.62,920.0,8640.0
930.0,0.021695421,4.849304482340814E-11,930.0,1.0,1.0,0.037060622812896404,1.0,236.0,1.0,0.63,930.0,8640.0
940.0,0.021891891,4.8932189494371424E-11,940.0,1.0,1.0,0.03773285022978047,1.0,236.0,1.0,0.64,940.0,8640.0
950.0,0.022091051,4.937734678387643E-11,950.0,1.0,1.0,0.03844355706946699,1.0,236.0,1.0,0.65,950.0,8640.0
960.0,0.022285631,4.981226697564126E-11,960.0,1.0,1.0,0.039191540849993364,1.0,236.0,1.0,0.66,960.0,8640.0
970.0,0.02249469,5.027955025434495E-11,970.0,1.0,1.0,0.03997564867628209,1.0,236.0,1.0,0.67,970.0,8640.0
980.0,0.022689288,5.0714510679245006E-11,980.0,1.0,1.0,0.04079477471019758,1.0,236.0,1.0,0.6799999999999999,980.0,8640.0
990.0,0.022880859,5.114270523190499E-11,990.0,1.0,1.0,0.04164785779393296,1.0,236.0,1.0,0.69,990.0,8640.0
1000.0,0.023076885,5.158085748553277E-11,1000.0,1.0,1.0,0.04253387921599363,1.0,236.0,1.0,0.7,1000.0,8640.0
